Probe,Gene Name,Model Count,Minimum Value,Maximum Value
ENSG00000008130,NADK,957.0,4.11992376058585e-05,1.56586475812468
ENSG00000172456,FGGY,948.0,-2.00555801298036,-4.09532687706881e-05
ENSG00000152022,,907.0,1.84510872281552e-05,1.68945435987524
ENSG00000154309,DISP1,869.0,-1.4235270253175,-0.0001378141906612
ENSG00000125703,ATG4C,734.0,-1.14542108932335,-4.20495724023205e-06
ENSG00000162458,FBLIM1,712.0,2.3248736948219e-05,1.01722814369819
ENSG00000014914,MTMR11,671.0,-1.21792723784462,-8.50504020867775e-06
ENSG00000028137,TNFRSF1B,600.0,7.21821660581416e-05,0.733713089480164
ENSG00000132185,FCRLA,579.0,6.49324266130464e-05,0.328220800302388
ENSG00000118733,OLFM3,471.0,-0.156424894456344,-2.38927871906316e-05
ENSG00000085433,WDR47,417.0,-0.742412777796995,-2.27954562341947e-05
ENSG00000162909,CAPN2,399.0,1.83219717289502e-06,1.01495084954249
ENSG00000162545,CAMK2N1,352.0,2.58262232453558e-06,0.554597612778944
ENSG00000142871,CCN1,329.0,2.28017886333656e-05,0.325605663871268
ENSG00000090104,RGS1,301.0,7.12211727147119e-05,0.280159589035018
ENSG00000162552,WNT4,288.0,-0.480257980719863,-7.76649027865917e-05
ENSG00000117280,RAB29,283.0,3.85778169067702e-05,0.726872016548749
ENSG00000134202,GSTM3,266.0,-0.393739133129437,-1.05605901399728e-06
ENSG00000117461,PIK3R3,228.0,8.2778650182812e-06,0.875260976480981
ENSG00000077549,CAPZB,197.0,1.52938463247331e-05,0.781290098438091
ENSG00000198734,F5,183.0,-0.249769010800249,-2.82203257066591e-05
ENSG00000134716,CYP2J2,161.0,-0.439380619522038,-8.9432204832016e-05
ENSG00000162542,TMCO4,152.0,5.09345668622983e-05,0.886462845624024
ENSG00000143412,ANXA9,142.0,-0.352328762532629,-4.61683863301826e-05
ENSG00000162687,KCNT2,137.0,-0.320220060248841,-3.93124715873988e-05
ENSG00000162745,OLFML2B,134.0,1.05975893200582e-05,0.374322903761898
ENSG00000134748,PRPF38A,111.0,-0.747110523798072,-3.2210468394173e-06
ENSG00000117543,DPH5,109.0,-0.893896341191538,-4.65504801738428e-06
ENSG00000163374,YY1AP1,104.0,-0.833147566872922,-2.53814838455447e-05
ENSG00000143486,EIF2D,104.0,-0.437389760184861,-9.77259951884205e-07
ENSG00000188157,AGRN,102.0,1.5484570422957e-05,0.618630385322727
ENSG00000169598,DFFB,101.0,0.0001313241742282,0.908044184628128
ENSG00000142634,EFHD2,97.0,0.0001980882836512,0.556043081884921
ENSG00000142937,RPS8,96.0,-0.259757285548809,-3.24594890239612e-06
ENSG00000162631,NTNG1,93.0,-0.242879452155838,-2.85899993839078e-05
ENSG00000177606,JUN,86.0,0.0001708821301556,0.397695747007482
ENSG00000179403,VWA1,85.0,9.48142624120819e-05,0.507550325155545
ENSG00000023909,GCLM,79.0,0.0002763041499757,0.406315103457519
ENSG00000122176,FMOD,68.0,0.0003757593635668,0.325953681415936
ENSG00000164010,ERMAP,58.0,-0.508996742604785,-0.0001644381710274
ENSG00000162430,SELENON,54.0,6.68928296548711e-06,0.455099785335688
ENSG00000122406,RPL5,43.0,-0.324721031018345,-6.34027695619768e-07
ENSG00000126709,IFI6,41.0,6.19899613069667e-05,0.336684850567177
ENSG00000173947,PIFO,38.0,-0.201864654624427,-0.0006271041356319
ENSG00000123689,G0S2,36.0,0.0013577135250298,0.286293128231017
ENSG00000000971,CFH,32.0,-0.247886349703746,-1.13038911595877e-05
ENSG00000203747,FCGR3A,30.0,0.0005024516792289,0.128331415041467
ENSG00000007341,ST7L,29.0,-0.43510600331752,-8.92210804284011e-05
ENSG00000197785,ATAD3A,29.0,0.0009816232587796,0.409127773786689
ENSG00000116874,WARS2,26.0,-0.66237596277031,-0.0001410816435535
ENSG00000168389,MFSD2A,25.0,-0.294182131289322,-0.0003449045525381
ENSG00000170075,GPR37L1,24.0,-0.245724486757031,-0.0013772328112374
ENSG00000152061,RABGAP1L,22.0,-0.28275774926689,-9.88961859329159e-06
ENSG00000116741,RGS2,22.0,-0.244103581209858,-0.0016034598558984
ENSG00000162894,FCMR,22.0,0.0007450738282402,0.126402499384907
ENSG00000117643,MAN1C1,22.0,0.0127015704232711,0.380989304879066
ENSG00000143353,LYPLAL1,21.0,-0.391623954176702,-0.0050703242575273
ENSG00000157193,LRP8,17.0,0.007982158577557,0.231760250463836
ENSG00000130775,THEMIS2,17.0,0.0024979551966005,0.30399373639157
ENSG00000180667,YOD1,16.0,-0.163170749813692,-5.48134533634904e-05
ENSG00000198854,C1orf68,14.0,-0.244139836847392,-0.0095890892629985
ENSG00000163873,GRIK3,14.0,-0.0828733328615653,-3.92887861224324e-05
ENSG00000143799,PARP1,13.0,0.0204348257361769,0.306152552849606
ENSG00000178585,CTNNBIP1,13.0,-0.19586996862694,-5.06406863694278e-05
ENSG00000150337,FCGR1A,12.0,0.0003371533108779,0.124498129279613
ENSG00000162576,MXRA8,11.0,2.57831926281004e-05,0.207797950318454
ENSG00000085832,EPS15,10.0,-0.115319612704271,-3.26914771726841e-05
ENSG00000189266,PNRC2,10.0,-0.421100646451911,-8.5704244910859e-05
ENSG00000135838,NPL,9.0,0.0001988808917532,0.158382113099439
ENSG00000152763,DNAI4,8.0,-0.200455882296823,-0.0393935301282198
ENSG00000171806,METTL18,8.0,-0.229163461318876,-0.0026933078603083
ENSG00000133063,CHIT1,7.0,0.0017747304216723,0.0439838683658061
ENSG00000213366,GSTM2,7.0,-0.0656477100153603,-9.36340549418123e-05
ENSG00000268172,,6.0,-0.0823997311072378,-0.0013163215464235
ENSG00000116793,PHTF1,6.0,0.0180725132843204,0.503061574522425
ENSG00000020633,RUNX3,6.0,0.0180622928444931,0.136523099935447
ENSG00000043514,TRIT1,5.0,-0.204477710503476,-0.0011631737436885
ENSG00000116661,FBXO2,5.0,-0.173349484484975,-0.0036166888795049
ENSG00000184260,H2AC20,5.0,-0.0463815330655446,-0.000525321243455
ENSG00000159348,CYB5R1,5.0,-0.0677508599085062,-0.0001325463829243
ENSG00000160087,UBE2J2,4.0,0.0166766045050254,0.311948212368601
ENSG00000162627,SNX7,4.0,-0.0968807339816603,-0.0061933090721091
ENSG00000081985,IL12RB2,4.0,1.67338267667511e-05,0.0688828629820316
ENSG00000162889,MAPKAPK2,4.0,0.0381416975267833,0.20280134547127
ENSG00000184371,CSF1,3.0,0.0032789270010198,0.0407072995266941
ENSG00000134686,PHC2,3.0,0.09845111187211,0.211867128328548
ENSG00000116251,RPL22,3.0,-0.132258198134807,-0.0081004351992162
ENSG00000116584,ARHGEF2,3.0,7.3206025134275e-05,0.0722523597599352
ENSG00000162623,TYW3,3.0,-0.333186381549024,-0.0157302962576176
ENSG00000116871,MAP7D1,3.0,0.0126050386699823,0.106011148287235
ENSG00000116260,QSOX1,3.0,0.0038929956045294,0.0145941697353289
ENSG00000171819,ANGPTL7,2.0,-0.0698800687647275,-0.0391396074559847
ENSG00000078369,GNB1,2.0,3.46499029283559e-05,0.147810958816928
ENSG00000069424,KCNAB2,2.0,0.0326856277298681,0.140434872595242
ENSG00000143384,MCL1,2.0,5.30581647526509e-05,0.0082208274310691
ENSG00000117000,RLF,2.0,-0.201072002733206,-0.0254590881974503
ENSG00000042781,USH2A,2.0,-0.0397270593721212,-0.0266000320645347
ENSG00000159455,LCE2B,2.0,-0.0221597006896728,-0.0163341258329638
ENSG00000117724,CENPF,1.0,0.0177880166778162,0.0177880166778162
ENSG00000188060,RAB42,1.0,0.045692283698809,0.045692283698809
ENSG00000143479,DYRK3,1.0,0.166581054804223,0.166581054804223
ENSG00000189280,GJB5,1.0,-0.0568185935945462,-0.0568185935945462
ENSG00000001460,STPG1,1.0,-0.229963955322548,-0.229963955322548
ENSG00000142910,TINAGL1,1.0,0.116857458609683,0.116857458609683
ENSG00000160072,ATAD3B,1.0,0.113673517402616,0.113673517402616
ENSG00000186517,ARHGAP30,1.0,0.0081329844940615,0.0081329844940615
ENSG00000184588,PDE4B,1.0,0.0127905684110243,0.0127905684110243
ENSG00000084652,TXLNA,1.0,0.04284522661754,0.04284522661754
ENSG00000160710,ADAR,1.0,0.0056324354594625,0.0056324354594625
ENSG00000160767,FAM189B,1.0,0.0549291929379774,0.0549291929379774
ENSG00000116752,BCAS2,1.0,-0.0021075923570364,-0.0021075923570364
ENSG00000175130,MARCKSL1,1.0,0.131369862157797,0.131369862157797
ENSG00000116685,KIAA2013,1.0,0.201547947757926,0.201547947757926
ENSG00000116299,ELAPOR1,1.0,0.0027844813747406,0.0027844813747406
ENSG00000000460,C1orf112,,,
ENSG00000000938,FGR,,,
ENSG00000001461,NIPAL3,,,
ENSG00000002016,RAD52,,,
ENSG00000002330,BAD,,,
ENSG00000002834,LASP1,,,
ENSG00000003056,M6PR,,,
ENSG00000003249,DBNDD1,,,
ENSG00000004139,SARM1,,,
ENSG00000004478,FKBP4,,,
ENSG00000004660,CAMKK1,,,
ENSG00000004700,RECQL,,,
ENSG00000004779,NDUFAB1,,,
ENSG00000005001,PRSS22,,,
ENSG00000005100,DHX33,,,
ENSG00000005102,MEOX1,,,
ENSG00000005187,ACSM3,,,
ENSG00000005194,CIAPIN1,,,
ENSG00000005243,COPZ2,,,
ENSG00000005339,CREBBP,,,
ENSG00000005379,TSPOAP1,,,
ENSG00000005513,SOX8,,,
ENSG00000005810,MYCBP2,,,
ENSG00000005812,FBXL3,,,
ENSG00000005844,ITGAL,,,
ENSG00000005882,PDK2,,,
ENSG00000005884,ITGA3,,,
ENSG00000006015,REX1BD,,,
ENSG00000006016,CRLF1,,,
ENSG00000006025,OSBPL7,,,
ENSG00000006042,TMEM98,,,
ENSG00000006059,KRT33A,,,
ENSG00000006118,TMEM132A,,,
ENSG00000006210,CX3CL1,,,
ENSG00000006282,SPATA20,,,
ENSG00000006327,TNFRSF12A,,,
ENSG00000006432,MAP3K9,,,
ENSG00000006534,ALDH3B1,,,
ENSG00000006555,TTC22,,,
ENSG00000006712,PAF1,,,
ENSG00000007047,MARK4,,,
ENSG00000007080,CCDC124,,,
ENSG00000007237,GAS7,,,
ENSG00000007255,TRAPPC6A,,,
ENSG00000007264,MATK,,,
ENSG00000007312,CD79B,,,
ENSG00000007372,PAX6,,,
ENSG00000007376,RPUSD1,,,
ENSG00000007384,RHBDF1,,,
