,overlapId,userId,link,geneSet,Core Gene,Core Gene Name,enrichmentRatio,overlap,description,size,expect,pValue,FDR,Cancer,pathway_class
0,10312;1176;130340;1508;1509;1520;1522;162;1777;2517;2548;256471;26088;2799;2990;3373;3920;4074;4125;427;51172;53;533;537;5476;5641;5660;57192;7805;8906;8907;8943;9114,ENSG00000179163;ENSG00000162511;ENSG00000117410;ENSG00000163131;ENSG00000197746;ENSG00000117984;ENSG00000134575;ENSG00000110719;ENSG00000003056;ENSG00000135677;ENSG00000213983;ENSG00000100600;ENSG00000103174;ENSG00000159720;ENSG00000171298;ENSG00000065000;ENSG00000090674;ENSG00000104774;ENSG00000105612;ENSG00000072958;ENSG00000152056;ENSG00000064601;ENSG00000101160;ENSG00000100280;ENSG00000100083;ENSG00000114378;ENSG00000164073;ENSG00000177879;ENSG00000169919;ENSG00000164733;ENSG00000104763;ENSG00000005893;ENSG00000071553,http://www.kegg.jp/kegg-bin/show_pathway?hsa04142+10312+1176+130340+1508+1509+1520+1522+162+1777+2517+2548+256471+26088+2799+2990+3373+3920+4074+4125+427+51172+53+533+537+5476+5641+5660+57192+7805+8906+8907+8943+9114,hsa04142,ENSG00000008130,NADK,2.78703483835951,33,Lysosome,123,11.8405409023966,2.90954362824891e-08,9.16506242898407e-06,GSE98394,Cellular Processes; Transport and catabolism
1,10288;10859;11006;1435;1535;2209;2212;2214;2354;2885;29760;3455;3690;3727;3937;5290;54209;5599;5604;5609;5971;6688;6850;7040;7132;79168;8503;9021;9103,ENSG00000117461;ENSG00000184371;ENSG00000150337;ENSG00000143226;ENSG00000143226;ENSG00000203747;ENSG00000107643;ENSG00000095585;ENSG00000066336;ENSG00000067182;ENSG00000169032;ENSG00000051523;ENSG00000259207;ENSG00000177885;ENSG00000184557;ENSG00000076984;ENSG00000130522;ENSG00000105329;ENSG00000104856;ENSG00000125740;ENSG00000244482;ENSG00000131042;ENSG00000104972;ENSG00000186818;ENSG00000159110;ENSG00000121879;ENSG00000043462;ENSG00000095970;ENSG00000165025,http://www.kegg.jp/kegg-bin/show_pathway?hsa04380+10288+10859+11006+1435+1535+2209+2212+2214+2354+2885+29760+3455+3690+3727+3937+5290+54209+5599+5604+5609+5971+6688+6850+7040+7132+79168+8503+9021+9103,hsa04380,ENSG00000008130,NADK,2.35354007301808,29,Osteoclast differentiation,128,12.321863703307,8.4856888062923e-06,0.0011740138847507,GSE98394,Organismal Systems; Development and regeneration
2,130589;231;2548;2582;2592;2595;2683;3099;3101;5236;80201;92579,ENSG00000117308;ENSG00000079739;ENSG00000156510;ENSG00000214013;ENSG00000141349;ENSG00000171298;ENSG00000143891;ENSG00000159399;ENSG00000160883;ENSG00000085662;ENSG00000086062;ENSG00000213930,http://www.kegg.jp/kegg-bin/show_pathway?hsa00052+130589+231+2548+2582+2592+2595+2683+3099+3101+5236+80201+92579,hsa00052,ENSG00000008130,NADK,4.02117636502311,12,Galactose metabolism,31,2.98420136564466,1.45446403914118e-05,0.0011740138847507,GSE98394,Metabolism; Carbohydrate metabolism
3,10312;1520;1535;1536;2209;2212;2214;245973;29927;30835;3108;3678;3689;3690;3920;4074;4973;523;526;5289;533;537;5878;60;64581;79659;811;83547;9103;9114;929;949,ENSG00000117410;ENSG00000150337;ENSG00000163131;ENSG00000143226;ENSG00000143226;ENSG00000203747;ENSG00000110719;ENSG00000187240;ENSG00000003056;ENSG00000172243;ENSG00000173391;ENSG00000161638;ENSG00000073060;ENSG00000159720;ENSG00000051523;ENSG00000167705;ENSG00000108774;ENSG00000259207;ENSG00000078142;ENSG00000090659;ENSG00000179218;ENSG00000143882;ENSG00000160255;ENSG00000114573;ENSG00000058262;ENSG00000170458;ENSG00000204257;ENSG00000075624;ENSG00000147416;ENSG00000165168;ENSG00000005893;ENSG00000071553,http://www.kegg.jp/kegg-bin/show_pathway?hsa04145+10312+1520+1535+1536+2209+2212+2214+245973+29927+30835+3108+3678+3689+3690+3920+4074+4973+523+526+5289+533+537+5878+60+64581+79659+811+83547+9103+9114+929+949,hsa04145,ENSG00000008130,NADK,2.18695556694239,32,Phagosome,152,14.6322131476771,1.49081128222317e-05,0.0011740138847507,GSE98394,Cellular Processes; Transport and catabolism
4,10312;1051;1378;1509;1520;2209;2212;2214;30835;3108;3587;3654;3687;3689;3920;4800;5289;533;537;5599;5878;5993;637;64581;6714;6850;7040;7132;8717;8844;8877;9103;9114;929;972,ENSG00000117410;ENSG00000150337;ENSG00000163131;ENSG00000143390;ENSG00000143226;ENSG00000143226;ENSG00000203747;ENSG00000203710;ENSG00000107643;ENSG00000117984;ENSG00000110719;ENSG00000110324;ENSG00000067182;ENSG00000172243;ENSG00000140678;ENSG00000102871;ENSG00000159720;ENSG00000141068;ENSG00000108774;ENSG00000176170;ENSG00000078142;ENSG00000090659;ENSG00000105329;ENSG00000197122;ENSG00000172216;ENSG00000160255;ENSG00000015475;ENSG00000170458;ENSG00000019582;ENSG00000204257;ENSG00000001167;ENSG00000165025;ENSG00000005893;ENSG00000184216;ENSG00000071553,http://www.kegg.jp/kegg-bin/show_pathway?hsa05152+10312+1051+1378+1509+1520+2209+2212+2214+30835+3108+3587+3654+3687+3689+3920+4800+5289+533+537+5599+5878+5993+637+64581+6714+6850+7040+7132+8717+8844+8877+9103+9114+929+972,hsa05152,ENSG00000008130,NADK,2.03118079890599,35,Tuberculosis,179,17.2313562725934,3.21425017874022e-05,0.0020249776126063,GSE98394,Human Diseases; Infectious disease: bacterial
5,2209;2212;2214;3075;3108;3383;3683;3689;5724;6404;713;714;719;727;728;9103,ENSG00000159189;ENSG00000173369;ENSG00000169403;ENSG00000150337;ENSG00000143226;ENSG00000143226;ENSG00000203747;ENSG00000000971;ENSG00000171860;ENSG00000110876;ENSG00000005844;ENSG00000090339;ENSG00000197405;ENSG00000160255;ENSG00000204257;ENSG00000106804,http://www.kegg.jp/kegg-bin/show_pathway?hsa05150+2209+2212+2214+3075+3108+3383+3683+3689+5724+6404+713+714+719+727+728+9103,hsa05150,ENSG00000008130,NADK,2.96801112656467,16,Staphylococcus aureus infection,56,5.39081537019681,4.81604338882224e-05,0.0025284227791316,GSE98394,Human Diseases; Infectious disease: bacterial
6,10018;100506742;142;1439;1508;1509;1520;1522;1677;2081;27113;3002;355;4001;5290;5551;5599;5604;578;5783;60;637;7132;84823;8503;8717;9131,ENSG00000169598;ENSG00000117461;ENSG00000163131;ENSG00000143799;ENSG00000107643;ENSG00000180644;ENSG00000026103;ENSG00000117984;ENSG00000204403;ENSG00000067182;ENSG00000100453;ENSG00000169032;ENSG00000102871;ENSG00000178607;ENSG00000176619;ENSG00000105327;ENSG00000153094;ENSG00000101160;ENSG00000015475;ENSG00000100368;ENSG00000121879;ENSG00000163629;ENSG00000113368;ENSG00000030110;ENSG00000075624;ENSG00000164733;ENSG00000156709,http://www.kegg.jp/kegg-bin/show_pathway?hsa04210+10018+100506742+142+1439+1508+1509+1520+1522+1677+2081+27113+3002+355+4001+5290+5551+5599+5604+578+5783+60+637+7132+84823+8503+8717+9131,hsa04210,ENSG00000008130,NADK,2.06233126073795,27,Apoptosis,136,13.0919801847637,0.0001943320122966,0.0087449405533507,GSE98394,Cellular Processes; Cell growth and death
7,10312;1277;1282;1284;1739;1740;182;1869;2308;2335;23462;23513;245973;2885;3455;355;3678;3679;3690;3911;4242;4854;4855;51564;523;526;5290;5315;533;537;54361;5521;5523;55534;5604;56288;5728;578;6696;7132;7248;7249;7450;7482;7855;8312;8503;8638;8717;9114;9223;9368,ENSG00000162552;ENSG00000117410;ENSG00000117461;ENSG00000134245;ENSG00000148498;ENSG00000171862;ENSG00000026103;ENSG00000110719;ENSG00000150672;ENSG00000110799;ENSG00000067182;ENSG00000061273;ENSG00000161638;ENSG00000135424;ENSG00000135114;ENSG00000150907;ENSG00000187498;ENSG00000134871;ENSG00000169032;ENSG00000067225;ENSG00000103126;ENSG00000103197;ENSG00000102871;ENSG00000159720;ENSG00000259207;ENSG00000108821;ENSG00000109062;ENSG00000177885;ENSG00000074181;ENSG00000143882;ENSG00000163251;ENSG00000115414;ENSG00000101384;ENSG00000101412;ENSG00000130702;ENSG00000159110;ENSG00000100060;ENSG00000151276;ENSG00000114573;ENSG00000073711;ENSG00000121879;ENSG00000075711;ENSG00000118785;ENSG00000196782;ENSG00000156475;ENSG00000204301;ENSG00000030110;ENSG00000147416;ENSG00000164683;ENSG00000180900;ENSG00000165699;ENSG00000071553,http://www.kegg.jp/kegg-bin/show_pathway?hsa05165+10312+1277+1282+1284+1739+1740+182+1869+2308+2335+23462+23513+245973+2885+3455+355+3678+3679+3690+3911+4242+4854+4855+51564+523+526+5290+5315+533+537+54361+5521+5523+55534+5604+56288+5728+578+6696+7132+7248+7249+7450+7482+7855+8312+8503+8638+8717+9114+9223+9368,hsa05165,ENSG00000008130,NADK,1.59344550157749,52,Human papillomavirus infection,339,32.6336859017271,0.0004173492859123,0.016433128132797,GSE98394,Human Diseases; Infectious disease: viral
8,2203;230;231;3099;3101;5210;55556;57103;80201;8790,ENSG00000254685;ENSG00000156510;ENSG00000078237;ENSG00000109107;ENSG00000132199;ENSG00000159399;ENSG00000114268;ENSG00000160883;ENSG00000085662;ENSG00000165140,http://www.kegg.jp/kegg-bin/show_pathway?hsa00051+2203+230+231+3099+3101+5210+55556+57103+80201+8790,hsa00051,ENSG00000008130,NADK,3.14789058878071,10,Fructose and mannose metabolism,33,3.17673048600884,0.0007610948101978,0.0266383183569235,GSE98394,Metabolism; Carbohydrate metabolism
9,10325;1508;1509;1613;2081;22808;285973;3920;5289;5290;55014;5599;5604;5728;58476;58528;6794;7248;7249;83734;8408;84938;84971;8503,ENSG00000117461;ENSG00000125703;ENSG00000107643;ENSG00000171862;ENSG00000117984;ENSG00000177169;ENSG00000169032;ENSG00000103197;ENSG00000178607;ENSG00000078142;ENSG00000118046;ENSG00000167657;ENSG00000130734;ENSG00000078804;ENSG00000158186;ENSG00000121879;ENSG00000152348;ENSG00000025039;ENSG00000181652;ENSG00000164733;ENSG00000136874;ENSG00000165699;ENSG00000083750;ENSG00000005893,http://www.kegg.jp/kegg-bin/show_pathway?hsa04140+10325+1508+1509+1613+2081+22808+285973+3920+5289+5290+55014+5599+5604+5728+58476+58528+6794+7248+7249+83734+8408+84938+84971+8503,hsa04140,ENSG00000008130,NADK,1.94775730180807,24,Autophagy,128,12.321863703307,0.0010226457446795,0.0322133409574069,GSE98394,Cellular Processes; Transport and catabolism
